annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
25033;VENDREDI;25/04/2025;6;24/07/2025;13;32;39;41;22;1;12;-13-22-32-39-41-;-1-12-;0;0;0;0;5;148333,50;1;5;34667,90;11;41;1316,80;140;696;142,80;283;1345;78,10;446;2202;33,50;3890;20366;18,10;5819;29462;13,90;17005;85992;8,90;21838;111027;8,30;82342;426810;6,80;239976;1213128;3,80;0;0;7;396,80;66;23,30;142;10,80;2033;1,80;2954;3,50;11463;4,20;20291;11,10;41059;3,10;403059;2,70;UF 496 9318;;
25032;MARDI;22/04/2025;5;21/07/2025;37;47;33;7;28;9;12;-7-28-33-37-47-;-9-12-;0;0;0;0;0;0;0;4;161263,00;7;28;1359,30;88;498;140,70;197;947;78,20;241;1250;41,60;2724;13963;18,60;4633;24882;11,60;12233;62197;8,60;14302;74011;8,80;68503;342032;6,00;175513;848025;3,90;0;0;2;988,70;37;29,60;120;9,10;1365;2,00;2284;3,20;7415;4,60;12569;12,70;33612;2,60;303179;2,60;VQ 339 8773;;
25031;VENDREDI;18/04/2025;4;17/07/2025;20;48;39;35;27;3;8;-20-27-35-39-48-;-3-8-;0;0;0;1;5;134387,60;1;6;26173,80;9;44;1111,70;150;694;129,80;329;1760;54,10;310;1397;47,90;5549;26824;12,40;6425;30751;12,10;13266;63633;10,90;31846;148487;5,60;97192;452131;5,80;198671;941740;4,50;0;0;7;392,60;73;20,90;152;10,00;2674;1,40;3215;3,10;15219;3,10;27914;7,90;47799;2,60;491736;2,20;RF 024 0852;;
25030;MARDI;15/04/2025;3;14/07/2025;3;31;38;44;33;12;6;-3-31-33-38-44-;-6-12-;0;0;0;0;0;0;0;5;127814,00;6;23;1639,50;57;415;167,30;192;825;89,00;197;1042;49,50;3158;14405;17,90;4223;20484;14,00;11129;52563;10,10;17443;77515;8,30;65802;314277;6,50;168309;807850;4,00;0;0;4;521,70;30;38,60;109;10,60;1639;1,70;2151;3,60;9213;3,90;15796;10,70;33379;2,80;323426;2,60;UE 731 6890;;
25029;VENDREDI;11/04/2025;2;10/07/2025;14;34;46;49;28;3;8;-14-28-34-46-49-;-3-8-;0;0;0;1;4;165122,30;0;6;25727,80;11;34;1414,10;147;621;142,60;349;1706;54,80;292;1336;49,20;5635;25904;12,60;6066;28376;12,90;13021;59927;11,40;32298;145952;5,60;98232;438492;5,90;203478;914696;4,50;1;1567,90;10;125,40;79;19,80;174;9,00;2694;1,40;3078;3,40;15170;3,20;28657;7,90;48326;2,60;505328;2,20;HN 251 6760;;
25028;MARDI;08/04/2025;1;07/07/2025;15;3;48;14;49;1;7;-3-14-15-48-49-;-1-7-;0;0;0;2;4;121704,90;1;4;28444,40;4;26;1363,00;99;468;139,40;275;1091;63,20;175;858;56,50;4439;17230;14,00;4459;21045;12,80;9326;45047;11,10;24329;96020;6,30;76015;336626;5,70;156557;716092;4,30;2;573,00;1;916,90;50;22,90;121;9,40;2174;1,30;2249;3,40;11722;3,00;20045;8,30;37960;2,40;352651;2,30;DX 524 3301;;
25027;VENDREDI;04/04/2025;2;03/07/2025;50;27;39;45;41;7;5;-27-39-41-45-50-;-5-7-;1;1;30117535,00;1;1;684735,20;0;5;32006,70;2;28;1780,20;129;597;153,80;366;1751;55,40;259;1386;49,20;6027;27314;12,40;6342;29436;12,90;12645;60328;11,70;38546;165425;5,10;95497;444405;6,00;190705;886742;4,90;1;1677,90;1;1342,30;62;27,00;170;9,80;2833;1,40;3208;3,50;17866;2,90;37860;6,40;47519;2,90;583594;2,00;CQ 159 4215;;
25026;MARDI;01/04/2025;1;30/06/2025;30;49;46;9;24;4;12;-9-24-30-46-49-;-4-12-;0;0;0;0;2;266728,50;3;9;13853,00;2;9;4314,80;96;393;182,00;218;921;82,10;226;998;53,20;3257;14128;18,80;5218;21031;14,00;12430;51822;10,60;18342;77262;8,60;78746;320432;6,50;199795;810737;4,10;0;0;1;2452,10;51;26,70;124;10,90;1669;2,00;2612;3,40;9489;4,50;16264;12,20;39983;2,80;369561;2,60;OH 642 3223;;
25025;VENDREDI;28/03/2025;8;26/06/2025;10;21;30;45;42;1;9;-10-21-30-42-45-;-1-9-;0;1;250000000,00;5;9;338645,80;9;24;18585,60;36;116;1197,70;675;2040;125,40;1562;4599;58,80;1513;4772;39,80;20673;64252;14,70;28578;88580;11,90;69243;210303;9,30;108134;338662;7,00;420996;1300647;5,70;1051344;3111406;3,80;3;1990,90;10;477,80;308;19,30;692;8,60;9473;1,50;13202;3,00;49866;3,70;83519;10,40;195689;2,50;1696563;2,50;FF 641 9577;;
25024;MARDI;25/03/2025;7;23/06/2025;36;3;18;33;1;6;2;-1-3-18-33-36-;-2-6-;0;0;0;0;2;616553,40;1;8;36024,60;14;69;1300,90;372;1334;123,90;881;3076;56,80;703;2774;44,20;13205;46584;13,10;16027;59429;11,50;34833;132501;9,60;69546;247081;6,20;240339;876893;5,50;521721;1942643;4,00;0;0;6;971,40;183;17,60;407;7,90;5919;1,30;7431;2,90;30788;3,30;52442;9,00;110488;2,40;985309;2,30;DQ 142 2803;;
