annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
25055;MERCREDI;07/05/2025;05/08/2025;32;36;1;41;46;9;1-32-36-41-46+9;0;3000000,00;1;170093,00;14;2965,30;184;813,70;991;90,20;9240;34,80;17172;14,50;156213;6,30;345128;2,20;10;20000,00;L 5968 2832, E 5314 9714, S 8046 8539, U 5911 5467, T 7148 0584, Q 1915 4426, L 0341 2752, B 4583 4043, P 6584 3855, O 3650 4549;4;24;25;33;46;;4-24-25-33-46;3;41618,00;216;631,10;9252;37,80;142385;3,00;0462656;eur;
25054;LUNDI;05/05/2025;03/08/2025;8;34;38;47;9;3;8-9-34-38-47+3;0;2000000,00;1;132704,60;26;1245,70;160;730,10;1076;64,80;8942;28,00;18501;10,50;154537;5,00;291626;2,20;10;20000,00;I 7810 0856, G 8763 6182, A 9950 9040, C 5670 4784, P 7029 2178, D 2324 7761, N 6598 8177, A 0401 9526, D 9900 5386, D 1184 3747;2;43;44;47;49;;2-43-44-47-49;0;102453,00;138;926,80;6606;49,70;97764;3,00;5538098;eur;
25053;SAMEDI;03/05/2025;01/08/2025;38;39;37;19;42;5;19-37-38-39-42+5;1;2000000,00;1;206261,70;32;1573,20;289;628,30;1885;57,50;15025;25,90;27353;11,10;225868;5,30;499267;2,20;10;20000,00;R 1357 6236, Q 2280 9564, R 2244 7524, O 2750 7870, F 0887 0983, K 9379 5910, B 7836 1127, D 4241 7211, T 1617 7492, O 3817 3524;2;4;6;10;17;;2-4-6-10-17;5;31899,00;844;146,50;22732;13,90;241980;3,00;0315873;eur;
25052;MERCREDI;30/04/2025;29/07/2025;8;31;42;3;5;8;3-5-8-31-42+8;1;4000000,00;1;171644,10;37;1132,20;416;363,20;2389;37,70;18731;17,30;30566;8,20;251760;3,90;343921;2,20;10;20000,00;C 4681 0081, F 9176 3819, A 1897 8319, E 5448 0485, B 9733 9205, N 7369 0560, K 7370 6075, F 9113 4565, F 7874 3933, O 0370 6238;22;29;31;43;45;;22-29-31-43-45;1;125237,00;203;695,60;8954;40,50;137497;3,00;3160151;eur;
25051;LUNDI;28/04/2025;27/07/2025;6;3;14;35;36;2;3-6-14-35-36+2;0;3000000,00;0;140585,00;28;6246,30;208;595,00;1050;70,40;10980;24,20;16423;12,60;171979;4,70;241328;2,20;10;20000,00;N 8963 0761, K 4809 0739, C 9330 4542, S 1341 5727, D 9271 2411, Q 5034 2145, S 1459 6269, A 9664 2974, H 6664 7683, Q 1038 5075;15;17;18;28;46;;15-17-18-28-46;0;100766,00;164;602,30;8597;29,50;128293;3,00;6334474;eur;
25050;SAMEDI;26/04/2025;25/07/2025;39;15;23;45;3;9;3-15-23-39-45+9;0;2000000,00;2;110017,50;55;976,40;498;388,90;2213;52,30;19876;20,90;31838;10,10;280899;4,50;436093;2,20;10;20000,00;P 6326 9253, B 5795 2288, P 3100 5915, O 7625 5254, N 9574 7461, B 1098 0914, U 3753 0949, U 7710 6414, V 3729 8006, N 2038 0329;9;15;19;27;33;;9-15-19-27-33;1;160284,00;403;333,60;18528;18,60;231043;3,00;6830133;eur;
25049;MERCREDI;23/04/2025;22/07/2025;5;3;35;20;15;8;3-5-15-20-35+8;1;12000000,00;3;62364,70;44;1037,80;520;316,70;2375;41,40;21613;16,30;31232;8,80;272752;4,00;400037;2,20;10;20000,00;F 3031 5206, C 0556 2552, I 9518 9402, M 6356 5497, N 8140 1123, U 1997 9690, Q 5325 8346, U 9304 6145, D 0002 9067, L 0090 1761;10;14;36;40;43;;10-14-36-40-43;3;44748,00;151;1062,60;8509;48,40;136576;3,00;2502663;eur;
25048;LUNDI;21/04/2025;20/07/2025;5;13;30;48;8;5;5-8-13-30-48+5;0;11000000,00;1;146608,80;73;490,10;487;265,00;2615;29,40;18514;14,90;31658;6,80;227699;3,70;338988;2,20;10;20000,00;R 5029 3555, C 4734 7102, I 8854 1637, V 6803 4663, G 1012 1247, M 1359 8313, E 8697 1803, H 4222 6877, S 3991 5979, H 0707 5744;8;9;36;45;46;;8-9-36-45-46;0;107000,00;128;981,50;6604;48,90;111546;3,00;0336940;eur;
25047;SAMEDI;19/04/2025;18/07/2025;19;11;32;16;20;6;11-16-19-20-32+6;0;10000000,00;1;299942,00;66;1109,20;692;381,50;3246;48,60;30988;18,30;44282;9,90;425028;4,10;526932;2,20;10;20000,00;A 1646 0453, P 1073 3170, B 1463 9656, C 8983 1966, J 1830 8269, P 1053 7394, O 0840 1608, R 1273 2105, R 0849 4757, I 2289 3768;4;8;11;21;30;;4-8-11-21-30;4;250000,00;850;198,70;27684;15,60;304238;3,00;7627660;eur;
25046;MERCREDI;16/04/2025;15/07/2025;13;38;27;40;39;10;13-27-38-39-40+10;0;7000000,00;0;191442,30;34;7004,90;307;548,90;1427;70,50;14982;24,10;19734;14,20;217892;5,10;300934;2,20;10;20000,00;I 1066 0168, I 7705 4747, S 3496 3392, T 1549 1502, C 4231 3300, J 2430 1831, A 9402 0244, C 5770 1943, N 5613 9090, H 2624 4544;23;25;30;39;40;;23-25-30-39-40;1;128732,00;170;887,80;8127;47,70;134456;3,00;5358798;eur;
