date,n1,n2,n3,n4,n5,lucky
1976-06-03,10,26,42,1,4,31
1976-06-10,44,16,47,10,15,27
1976-06-16,2,3,35,13,1,49
1976-06-23,30,22,11,9,23,49
1976-06-30,10,17,25,35,5,1
1976-07-07,27,32,34,19,45,15
1976-07-15,42,5,29,28,27,8
1976-07-21,15,2,31,19,27,5
1976-07-28,40,49,16,37,35,7
1976-08-05,47,37,25,6,4,42
1976-08-11,8,42,33,31,17,26
1976-08-18,21,9,3,24,34,48
1976-08-25,32,11,7,8,38,48
1976-09-01,27,33,42,8,26,25
1976-09-08,25,30,22,3,38,13
1976-09-15,27,7,39,3,8,28
1976-09-22,35,24,10,36,9,11
1976-09-29,7,15,11,8,35,24
1976-10-06,47,30,38,6,26,8
1976-10-13,36,19,46,2,20,35
1976-10-20,20,26,14,48,33,18
1976-10-27,43,5,40,13,17,10
1976-11-04,46,40,30,9,33,3
1976-11-10,17,3,41,38,30,32
1976-11-17,2,32,44,45,20,38
1976-11-24,20,19,25,5,12,10
1976-12-01,18,26,16,22,28,7
1976-12-08,38,31,12,49,7,42
1976-12-15,26,45,19,9,39,43
1976-12-22,20,36,3,7,1,28
1976-12-29,9,12,32,24,47,41
1977-01-05,36,26,1,34,32,42
1977-01-12,16,15,17,31,8,24
1977-01-19,41,33,2,14,45,44
1977-01-26,21,7,45,12,9,23
1977-02-02,25,23,5,1,41,43
1977-02-09,11,40,28,22,1,46
1977-02-16,11,44,13,37,31,24
1977-02-23,42,43,25,22,34,32
1977-03-02,26,27,6,22,33,46
1977-03-09,3,28,4,9,46,17
1977-03-16,40,21,20,45,44,32
1977-03-23,14,20,22,40,17,4
1977-03-30,19,10,40,41,43,33
1977-04-06,33,18,7,8,25,42
1977-04-14,41,28,26,3,16,38
1978-04-26,37,45,29,28,24,40
1978-05-03,17,27,19,40,28,48
1978-05-10,5,4,2,29,8,14
1978-05-18,23,45,49,11,20,44
1978-05-24,7,18,46,47,3,33
1978-05-31,49,14,48,10,29,44
1978-06-07,21,1,43,35,13,24
1978-06-14,12,49,40,10,1,35
1978-06-21,49,11,32,44,20,19
1978-06-28,3,46,41,45,16,1
