date,day_of_week,n1,n2,n3,n4,n5,s1,s2,source_file
2014-01-31,Friday,10,15,31,8,16,8,9,euromillions_2.csv
2014-01-28,Tuesday,18,23,48,20,42,2,9,euromillions_2.csv
2014-01-24,Friday,19,41,35,34,5,1,5,euromillions_2.csv
2014-01-21,Tuesday,4,42,35,48,12,5,8,euromillions_2.csv
2014-01-17,Friday,26,19,33,42,32,10,4,euromillions_2.csv
2014-01-14,Tuesday,25,18,20,26,37,11,10,euromillions_2.csv
2014-01-10,Friday,1,27,2,11,29,10,1,euromillions_2.csv
2014-01-07,Tuesday,2,45,20,27,33,6,10,euromillions_2.csv
2014-01-03,Friday,3,44,27,38,31,3,8,euromillions_2.csv
2013-12-31,Tuesday,29,45,24,20,13,7,3,euromillions_2.csv
2013-12-27,Friday,1,22,6,13,28,10,5,euromillions_2.csv
2013-12-24,Tuesday,5,31,43,50,19,6,2,euromillions_2.csv
2013-12-20,Friday,13,22,17,43,12,10,3,euromillions_2.csv
2013-12-17,Tuesday,41,6,8,37,27,7,10,euromillions_2.csv
2013-12-13,Friday,24,22,23,1,31,6,11,euromillions_2.csv
2013-12-10,Tuesday,49,50,24,6,35,7,1,euromillions_2.csv
2013-12-06,Friday,18,31,36,2,1,7,10,euromillions_2.csv
2013-12-03,Tuesday,32,6,29,15,13,2,9,euromillions_2.csv
2013-11-29,Friday,10,23,7,2,43,4,7,euromillions_2.csv
2013-11-26,Tuesday,44,27,23,42,19,5,3,euromillions_2.csv
2013-11-22,Friday,40,26,13,25,50,8,9,euromillions_2.csv
2013-11-19,Tuesday,45,14,19,36,15,1,10,euromillions_2.csv
2013-11-15,Friday,13,42,3,15,29,4,1,euromillions_2.csv
2013-11-12,Tuesday,29,48,40,37,14,11,2,euromillions_2.csv
2013-11-08,Friday,35,20,42,43,28,8,10,euromillions_2.csv
2013-11-05,Tuesday,35,38,12,13,6,2,3,euromillions_2.csv
2013-11-01,Friday,19,33,29,30,7,3,8,euromillions_2.csv
2013-10-29,Tuesday,32,9,10,30,37,6,2,euromillions_2.csv
2013-10-25,Friday,2,31,38,3,10,6,10,euromillions_2.csv
2013-10-22,Tuesday,39,33,29,44,41,9,11,euromillions_2.csv
2013-10-18,Friday,25,36,47,46,5,2,6,euromillions_2.csv
2013-10-15,Tuesday,39,18,27,43,47,7,4,euromillions_2.csv
2013-10-11,Friday,6,17,23,12,43,5,9,euromillions_2.csv
2013-10-08,Tuesday,23,24,33,42,26,5,3,euromillions_2.csv
2013-10-04,Friday,50,35,6,24,20,5,10,euromillions_2.csv
2013-10-01,Tuesday,19,44,48,25,23,9,8,euromillions_2.csv
2013-09-27,Friday,41,15,11,38,43,6,2,euromillions_2.csv
2013-09-24,Tuesday,43,20,10,28,26,9,11,euromillions_2.csv
2013-09-20,Friday,5,11,38,35,45,2,3,euromillions_2.csv
2013-09-17,Tuesday,44,17,21,42,13,11,9,euromillions_2.csv
2013-09-13,Friday,14,27,6,4,33,10,5,euromillions_2.csv
2013-09-10,Tuesday,7,28,30,14,11,2,10,euromillions_2.csv
2013-09-06,Friday,25,11,32,23,37,7,4,euromillions_2.csv
2013-09-03,Tuesday,5,18,16,42,9,7,9,euromillions_2.csv
2013-08-30,Friday,45,25,17,36,2,5,9,euromillions_2.csv
2013-08-27,Tuesday,7,40,38,43,30,6,2,euromillions_2.csv
2013-08-23,Friday,30,37,26,6,1,8,5,euromillions_2.csv
2013-08-20,Tuesday,42,11,50,49,5,8,11,euromillions_2.csv
2013-08-16,Friday,39,20,24,37,27,5,10,euromillions_2.csv
2013-08-13,Tuesday,5,20,47,17,50,1,4,euromillions_2.csv
2013-08-09,Friday,24,4,23,7,9,9,8,euromillions_2.csv
2013-08-06,Tuesday,17,47,16,49,31,3,11,euromillions_2.csv
2013-08-02,Friday,42,36,48,37,21,7,4,euromillions_2.csv
2013-07-30,Tuesday,3,14,4,11,43,1,6,euromillions_2.csv
2013-07-26,Friday,23,38,29,12,49,4,3,euromillions_2.csv
2013-07-23,Tuesday,19,14,44,16,15,4,5,euromillions_2.csv
2013-07-19,Friday,24,35,13,26,16,5,2,euromillions_2.csv
2013-07-16,Tuesday,50,34,47,19,23,4,6,euromillions_2.csv
2013-07-12,Friday,26,42,33,18,32,3,2,euromillions_2.csv
2013-07-09,Tuesday,18,16,38,49,31,10,4,euromillions_2.csv
2013-07-05,Friday,28,4,33,12,15,1,10,euromillions_2.csv
2013-07-02,Tuesday,14,13,11,28,30,4,5,euromillions_2.csv
2013-06-28,Friday,15,1,47,28,35,7,1,euromillions_2.csv
2013-06-25,Tuesday,4,13,35,27,5,2,1,euromillions_2.csv
