date,day_of_week,n1,n2,n3,n4,n5,s1,s2,source_file
2025-04-25,Friday,13,32,39,41,22,1,12,euromillions_202002.csv
2025-04-22,Tuesday,37,47,33,7,28,9,12,euromillions_202002.csv
2025-04-18,Friday,20,48,39,35,27,3,8,euromillions_202002.csv
2025-04-15,Tuesday,3,31,38,44,33,12,6,euromillions_202002.csv
2025-04-11,Friday,14,34,46,49,28,3,8,euromillions_202002.csv
2025-04-08,Tuesday,15,3,48,14,49,1,7,euromillions_202002.csv
2025-04-04,Friday,50,27,39,45,41,7,5,euromillions_202002.csv
2025-04-01,Tuesday,30,49,46,9,24,4,12,euromillions_202002.csv
2025-03-28,Friday,10,21,30,45,42,1,9,euromillions_202002.csv
2025-03-25,Tuesday,36,3,18,33,1,6,2,euromillions_202002.csv
2025-03-21,Friday,9,17,18,21,50,12,5,euromillions_202002.csv
2025-03-18,Tuesday,46,9,35,4,50,8,11,euromillions_202002.csv
2025-03-14,Friday,8,33,49,35,10,2,9,euromillions_202002.csv
2025-03-11,Tuesday,36,37,42,47,13,11,7,euromillions_202002.csv
2025-03-07,Friday,32,6,48,27,10,8,3,euromillions_202002.csv
2025-03-04,Tuesday,29,42,15,20,35,9,2,euromillions_202002.csv
2025-02-28,Friday,43,31,46,16,7,9,5,euromillions_202002.csv
2025-02-25,Tuesday,23,24,44,17,22,11,6,euromillions_202002.csv
2025-02-21,Friday,1,43,3,20,11,11,2,euromillions_202002.csv
2025-02-18,Tuesday,26,40,5,25,14,5,7,euromillions_202002.csv
2025-02-14,Friday,38,14,36,31,4,10,3,euromillions_202002.csv
2025-02-11,Tuesday,21,3,46,36,41,6,1,euromillions_202002.csv
2025-02-07,Friday,10,24,45,29,23,8,10,euromillions_202002.csv
2025-02-04,Tuesday,29,43,3,39,4,5,10,euromillions_202002.csv
2025-01-31,Friday,30,41,49,44,22,7,2,euromillions_202002.csv
2025-01-28,Tuesday,42,41,37,49,9,9,1,euromillions_202002.csv
2025-01-24,Friday,30,2,19,49,11,3,8,euromillions_202002.csv
2025-01-21,Tuesday,8,6,14,27,41,5,4,euromillions_202002.csv
2025-01-17,Friday,24,42,15,35,8,8,6,euromillions_202002.csv
2025-01-14,Tuesday,41,48,29,20,18,5,9,euromillions_202002.csv
2025-01-10,Friday,36,37,27,42,12,7,6,euromillions_202002.csv
2025-01-07,Tuesday,41,20,35,33,47,4,12,euromillions_202002.csv
2025-01-03,Friday,19,35,37,3,29,1,9,euromillions_202002.csv
2024-12-31,Tuesday,33,24,19,26,28,12,8,euromillions_202002.csv
2024-12-27,Friday,45,33,12,27,22,4,8,euromillions_202002.csv
2024-12-24,Tuesday,6,24,16,23,10,12,11,euromillions_202002.csv
2024-12-20,Friday,14,10,50,33,21,6,9,euromillions_202002.csv
2024-12-17,Tuesday,1,21,4,29,3,7,2,euromillions_202002.csv
2024-12-13,Friday,25,1,42,15,50,10,4,euromillions_202002.csv
2024-12-10,Tuesday,29,25,5,47,24,9,5,euromillions_202002.csv
2024-12-06,Friday,25,39,47,14,44,6,10,euromillions_202002.csv
2024-12-03,Tuesday,46,23,34,25,47,6,8,euromillions_202002.csv
2024-11-29,Friday,8,18,43,17,29,5,9,euromillions_202002.csv
2024-11-26,Tuesday,40,25,31,11,7,12,9,euromillions_202002.csv
2024-11-22,Friday,12,10,29,11,31,11,8,euromillions_202002.csv
2024-11-19,Tuesday,28,20,49,13,4,7,12,euromillions_202002.csv
2024-11-15,Friday,7,39,8,44,34,2,6,euromillions_202002.csv
2024-11-12,Tuesday,11,12,50,10,22,10,1,euromillions_202002.csv
2024-11-08,Friday,48,2,35,33,42,1,3,euromillions_202002.csv
2024-11-05,Tuesday,50,8,37,1,19,9,6,euromillions_202002.csv
2024-11-01,Friday,44,7,50,33,38,2,7,euromillions_202002.csv
2024-10-29,Tuesday,45,30,19,1,2,12,10,euromillions_202002.csv
2024-10-25,Friday,4,20,45,25,17,9,8,euromillions_202002.csv
2024-10-22,Tuesday,13,46,3,27,30,1,2,euromillions_202002.csv
2024-10-18,Friday,23,39,4,15,30,12,1,euromillions_202002.csv
2024-10-15,Tuesday,15,48,2,36,32,3,9,euromillions_202002.csv
2024-10-11,Friday,23,46,32,16,49,5,4,euromillions_202002.csv
2024-10-08,Tuesday,7,19,34,14,40,8,6,euromillions_202002.csv
2024-10-04,Friday,4,17,8,16,20,6,1,euromillions_202002.csv
2024-10-01,Tuesday,22,41,8,42,29,9,11,euromillions_202002.csv
2024-09-27,Friday,7,21,38,20,27,12,5,euromillions_202002.csv
2024-09-24,Tuesday,20,21,49,36,18,5,3,euromillions_202002.csv
2024-09-20,Friday,16,37,34,25,29,3,7,euromillions_202002.csv
2024-09-17,Tuesday,30,32,20,41,44,10,1,euromillions_202002.csv
2024-09-13,Friday,31,42,10,15,17,4,12,euromillions_202002.csv
2024-09-10,Tuesday,48,46,6,29,47,9,2,euromillions_202002.csv
2024-09-06,Friday,34,47,14,12,41,3,4,euromillions_202002.csv
2024-09-03,Tuesday,7,9,11,45,16,5,2,euromillions_202002.csv
2024-08-30,Friday,3,24,42,33,27,6,4,euromillions_202002.csv
2024-08-27,Tuesday,1,47,42,8,11,11,4,euromillions_202002.csv
2024-08-23,Friday,50,47,24,9,15,8,9,euromillions_202002.csv
2024-08-20,Tuesday,10,18,13,26,7,12,3,euromillions_202002.csv
2024-08-16,Friday,49,45,15,29,17,10,1,euromillions_202002.csv
2024-08-13,Tuesday,15,16,40,47,39,1,6,euromillions_202002.csv
2024-08-09,Friday,33,23,25,44,21,4,10,euromillions_202002.csv
2024-08-06,Tuesday,41,27,50,1,18,2,12,euromillions_202002.csv
2024-08-02,Friday,12,7,33,5,46,3,12,euromillions_202002.csv
2024-07-30,Tuesday,28,37,9,38,25,2,8,euromillions_202002.csv
2024-07-26,Friday,35,37,23,19,4,8,4,euromillions_202002.csv
2024-07-23,Tuesday,8,10,16,34,4,8,4,euromillions_202002.csv
2024-07-19,Friday,44,22,35,48,15,6,7,euromillions_202002.csv
2024-07-16,Tuesday,39,35,2,36,32,7,8,euromillions_202002.csv
2024-07-12,Friday,12,39,24,25,18,10,8,euromillions_202002.csv
2024-07-09,Tuesday,28,15,19,39,6,7,11,euromillions_202002.csv
2024-07-05,Friday,29,47,31,13,11,11,1,euromillions_202002.csv
2024-07-02,Tuesday,46,7,2,34,35,6,8,euromillions_202002.csv
2024-06-28,Friday,10,18,35,16,22,10,1,euromillions_202002.csv
2024-06-25,Tuesday,14,16,49,45,37,5,7,euromillions_202002.csv
2024-06-21,Friday,4,3,11,7,17,12,3,euromillions_202002.csv
2024-06-18,Tuesday,34,11,36,33,3,12,1,euromillions_202002.csv
2024-06-14,Friday,13,2,16,24,32,7,1,euromillions_202002.csv
2024-06-11,Tuesday,48,15,7,34,45,7,9,euromillions_202002.csv
2024-06-07,Friday,30,26,15,37,16,8,5,euromillions_202002.csv
2024-06-04,Tuesday,43,7,6,9,14,4,3,euromillions_202002.csv
2024-05-31,Friday,16,33,4,34,7,8,7,euromillions_202002.csv
2024-05-28,Tuesday,18,16,35,41,36,6,7,euromillions_202002.csv
2024-05-24,Friday,12,9,22,18,50,1,3,euromillions_202002.csv
2024-05-21,Tuesday,13,11,48,14,34,9,7,euromillions_202002.csv
2024-05-17,Friday,31,41,46,32,18,10,1,euromillions_202002.csv
2024-05-14,Tuesday,35,2,8,28,17,7,9,euromillions_202002.csv
2024-05-10,Friday,29,44,13,48,28,12,4,euromillions_202002.csv
2024-05-07,Tuesday,45,35,42,36,41,11,6,euromillions_202002.csv
2024-05-03,Friday,6,49,9,30,10,4,3,euromillions_202002.csv
2024-04-30,Tuesday,24,47,13,22,33,5,1,euromillions_202002.csv
2024-04-26,Friday,47,2,39,20,40,8,4,euromillions_202002.csv
2024-04-23,Tuesday,9,49,11,6,32,2,10,euromillions_202002.csv
2024-04-19,Friday,10,20,46,40,44,1,3,euromillions_202002.csv
2024-04-16,Tuesday,39,31,46,29,22,3,7,euromillions_202002.csv
2024-04-12,Friday,45,16,12,2,3,11,2,euromillions_202002.csv
2024-04-09,Tuesday,27,46,19,23,26,2,10,euromillions_202002.csv
2024-04-05,Friday,26,37,35,18,13,11,8,euromillions_202002.csv
2024-04-02,Tuesday,36,1,48,23,31,8,5,euromillions_202002.csv
2024-03-29,Friday,49,35,36,17,16,10,1,euromillions_202002.csv
2024-03-26,Tuesday,14,26,29,13,2,5,6,euromillions_202002.csv
2024-03-22,Friday,32,8,44,11,23,9,10,euromillions_202002.csv
2024-03-19,Tuesday,32,18,7,20,16,1,3,euromillions_202002.csv
2024-03-15,Friday,31,40,34,4,1,4,5,euromillions_202002.csv
2024-03-12,Tuesday,30,38,19,13,46,4,12,euromillions_202002.csv
2024-03-08,Friday,12,11,8,44,16,4,7,euromillions_202002.csv
2024-03-05,Tuesday,23,36,2,17,15,8,3,euromillions_202002.csv
2024-03-01,Friday,34,20,4,19,7,2,4,euromillions_202002.csv
2024-02-27,Tuesday,20,3,4,9,12,5,6,euromillions_202002.csv
2024-02-23,Friday,27,49,30,24,28,1,12,euromillions_202002.csv
2024-02-20,Tuesday,42,31,37,48,23,7,3,euromillions_202002.csv
2024-02-16,Friday,26,14,13,24,8,1,2,euromillions_202002.csv
2024-02-13,Tuesday,13,18,46,17,20,9,4,euromillions_202002.csv
2024-02-09,Friday,37,35,45,24,23,12,9,euromillions_202002.csv
2024-02-06,Tuesday,45,7,2,28,21,11,5,euromillions_202002.csv
2024-02-02,Friday,13,42,27,23,20,9,5,euromillions_202002.csv
2024-01-30,Tuesday,10,27,5,30,19,6,5,euromillions_202002.csv
2024-01-26,Friday,32,19,41,8,42,12,9,euromillions_202002.csv
2024-01-23,Tuesday,48,23,14,50,39,12,3,euromillions_202002.csv
2024-01-19,Friday,50,27,28,48,44,7,12,euromillions_202002.csv
2024-01-16,Tuesday,18,21,33,45,10,12,8,euromillions_202002.csv
2024-01-12,Friday,18,16,17,49,45,9,12,euromillions_202002.csv
2024-01-09,Tuesday,12,9,2,39,40,3,1,euromillions_202002.csv
2024-01-05,Friday,18,4,39,7,50,8,3,euromillions_202002.csv
2024-01-02,Tuesday,7,18,49,46,15,12,10,euromillions_202002.csv
2023-12-29,Friday,2,36,19,37,3,9,6,euromillions_202002.csv
2023-12-26,Tuesday,47,27,8,30,35,9,10,euromillions_202002.csv
2023-12-22,Friday,14,49,34,44,6,12,4,euromillions_202002.csv
2023-12-19,Tuesday,20,43,41,45,10,12,2,euromillions_202002.csv
2023-12-15,Friday,2,13,37,38,48,9,5,euromillions_202002.csv
2023-12-12,Tuesday,43,39,28,37,6,9,12,euromillions_202002.csv
2023-12-08,Friday,48,30,50,42,17,4,8,euromillions_202002.csv
2023-12-05,Tuesday,6,20,4,24,25,5,9,euromillions_202002.csv
2023-12-01,Friday,38,10,4,14,50,9,12,euromillions_202002.csv
2023-11-28,Tuesday,27,44,12,33,16,7,8,euromillions_202002.csv
2023-11-24,Friday,48,15,29,20,39,7,1,euromillions_202002.csv
2023-11-21,Tuesday,46,47,29,34,19,2,3,euromillions_202002.csv
2023-11-17,Friday,26,50,24,2,46,2,7,euromillions_202002.csv
2023-11-14,Tuesday,13,50,36,16,44,3,5,euromillions_202002.csv
2023-11-10,Friday,30,42,10,21,38,12,2,euromillions_202002.csv
2023-11-07,Tuesday,8,10,11,39,30,10,4,euromillions_202002.csv
2023-11-03,Friday,31,47,21,39,8,9,5,euromillions_202002.csv
2023-10-31,Tuesday,20,40,5,50,7,10,2,euromillions_202002.csv
2023-10-27,Friday,29,48,33,49,35,8,3,euromillions_202002.csv
2023-10-24,Tuesday,18,16,8,31,34,6,9,euromillions_202002.csv
2023-10-20,Friday,20,40,28,2,45,5,1,euromillions_202002.csv
2023-10-17,Tuesday,40,20,10,35,17,4,3,euromillions_202002.csv
2023-10-13,Friday,41,26,21,40,28,4,2,euromillions_202002.csv
2023-10-10,Tuesday,18,33,20,22,43,3,9,euromillions_202002.csv
2023-10-06,Friday,31,43,21,29,34,2,9,euromillions_202002.csv
2023-10-03,Tuesday,45,6,22,24,20,5,4,euromillions_202002.csv
2023-09-29,Friday,32,9,11,21,13,7,2,euromillions_202002.csv
2023-09-26,Tuesday,14,6,23,2,19,5,7,euromillions_202002.csv
2023-09-22,Friday,3,23,35,34,24,8,5,euromillions_202002.csv
2023-09-19,Tuesday,10,31,41,15,42,2,5,euromillions_202002.csv
2023-09-15,Friday,21,45,12,48,14,8,11,euromillions_202002.csv
2023-09-12,Tuesday,14,5,42,36,40,11,2,euromillions_202002.csv
2023-09-08,Friday,33,20,10,21,26,4,3,euromillions_202002.csv
2023-09-05,Tuesday,41,48,7,1,24,10,12,euromillions_202002.csv
2023-09-01,Friday,35,43,37,5,4,5,6,euromillions_202002.csv
2023-08-29,Tuesday,21,40,23,32,49,11,8,euromillions_202002.csv
2023-08-25,Friday,44,35,16,34,17,5,10,euromillions_202002.csv
2023-08-22,Tuesday,23,9,40,2,32,6,7,euromillions_202002.csv
2023-08-18,Friday,47,25,23,30,44,9,12,euromillions_202002.csv
2023-08-15,Tuesday,3,32,5,43,9,6,10,euromillions_202002.csv
2023-08-11,Friday,10,13,34,4,6,3,5,euromillions_202002.csv
2023-08-08,Tuesday,40,8,33,9,35,6,3,euromillions_202002.csv
2023-08-04,Friday,15,31,48,20,44,1,3,euromillions_202002.csv
2023-08-01,Tuesday,35,27,25,45,40,7,11,euromillions_202002.csv
2023-07-28,Friday,38,7,34,32,33,9,6,euromillions_202002.csv
2023-07-25,Tuesday,11,7,27,5,37,12,6,euromillions_202002.csv
2023-07-21,Friday,7,35,33,36,31,10,7,euromillions_202002.csv
2023-07-18,Tuesday,34,35,12,4,45,9,1,euromillions_202002.csv
2023-07-14,Friday,5,29,48,8,35,5,6,euromillions_202002.csv
2023-07-11,Tuesday,48,28,2,11,42,4,9,euromillions_202002.csv
2023-07-07,Friday,2,12,19,11,38,8,4,euromillions_202002.csv
2023-07-04,Tuesday,23,36,44,17,14,8,2,euromillions_202002.csv
2023-06-30,Friday,29,25,6,36,1,10,7,euromillions_202002.csv
2023-06-27,Tuesday,27,22,44,17,23,7,1,euromillions_202002.csv
2023-06-23,Friday,11,3,33,46,1,10,11,euromillions_202002.csv
2023-06-20,Tuesday,35,28,11,32,17,6,5,euromillions_202002.csv
2023-06-16,Friday,34,7,41,26,44,9,11,euromillions_202002.csv
2023-06-13,Tuesday,15,16,21,50,41,5,6,euromillions_202002.csv
2023-06-09,Friday,18,26,36,50,41,11,12,euromillions_202002.csv
2023-06-06,Tuesday,21,13,39,32,50,10,2,euromillions_202002.csv
2023-06-02,Friday,25,3,15,43,12,10,11,euromillions_202002.csv
2023-05-30,Tuesday,27,47,33,29,32,8,2,euromillions_202002.csv
2023-05-26,Friday,38,25,15,37,41,1,7,euromillions_202002.csv
2023-05-23,Tuesday,34,5,14,6,23,11,2,euromillions_202002.csv
2023-05-19,Friday,41,27,34,49,18,3,9,euromillions_202002.csv
2023-05-16,Tuesday,14,6,9,4,37,4,11,euromillions_202002.csv
2023-05-12,Friday,9,44,13,39,10,6,4,euromillions_202002.csv
2023-05-09,Tuesday,21,28,13,17,46,9,7,euromillions_202002.csv
2023-05-05,Friday,34,8,49,18,3,3,7,euromillions_202002.csv
2023-05-02,Tuesday,48,44,32,7,47,8,7,euromillions_202002.csv
2023-04-28,Friday,34,23,11,13,16,1,10,euromillions_202002.csv
2023-04-25,Tuesday,29,45,40,10,30,12,1,euromillions_202002.csv
2023-04-21,Friday,18,8,7,42,33,8,2,euromillions_202002.csv
2023-04-18,Tuesday,37,21,17,35,23,11,10,euromillions_202002.csv
2023-04-14,Friday,44,4,37,49,11,7,6,euromillions_202002.csv
2023-04-11,Tuesday,19,16,14,29,10,2,10,euromillions_202002.csv
2023-04-07,Friday,26,28,46,5,36,12,6,euromillions_202002.csv
2023-04-04,Tuesday,50,33,16,31,10,3,8,euromillions_202002.csv
2023-03-31,Friday,28,34,47,16,18,10,5,euromillions_202002.csv
2023-03-28,Tuesday,21,16,34,36,44,9,10,euromillions_202002.csv
2023-03-24,Friday,36,25,5,46,12,10,6,euromillions_202002.csv
2023-03-21,Tuesday,29,1,9,32,20,3,2,euromillions_202002.csv
2023-03-17,Friday,37,5,26,15,49,8,11,euromillions_202002.csv
2023-03-14,Tuesday,26,46,28,31,16,12,11,euromillions_202002.csv
2023-03-10,Friday,9,16,48,37,38,7,2,euromillions_202002.csv
2023-03-07,Tuesday,50,24,35,13,11,6,11,euromillions_202002.csv
2023-03-03,Friday,24,3,8,50,6,10,11,euromillions_202002.csv
2023-02-28,Tuesday,29,33,12,37,47,10,5,euromillions_202002.csv
2023-02-24,Friday,42,34,7,23,48,1,3,euromillions_202002.csv
2023-02-21,Tuesday,49,41,22,34,21,2,7,euromillions_202002.csv
2023-02-17,Friday,42,27,45,23,8,1,9,euromillions_202002.csv
2023-02-14,Tuesday,43,24,46,26,38,2,3,euromillions_202002.csv
2023-02-10,Friday,3,13,36,25,47,3,8,euromillions_202002.csv
2023-02-07,Tuesday,8,47,34,44,2,9,3,euromillions_202002.csv
2023-02-03,Friday,14,32,45,2,17,10,3,euromillions_202002.csv
2023-01-31,Tuesday,7,12,33,43,19,3,7,euromillions_202002.csv
2023-01-27,Friday,15,19,31,8,9,12,10,euromillions_202002.csv
2023-01-24,Tuesday,11,27,47,41,43,7,11,euromillions_202002.csv
2023-01-20,Friday,40,6,13,42,3,7,11,euromillions_202002.csv
2023-01-17,Tuesday,18,46,30,50,21,2,6,euromillions_202002.csv
2023-01-13,Friday,13,4,33,25,37,10,5,euromillions_202002.csv
2023-01-10,Tuesday,42,11,34,13,40,10,3,euromillions_202002.csv
2023-01-06,Friday,44,16,35,45,31,12,4,euromillions_202002.csv
2023-01-03,Tuesday,20,29,21,46,45,10,3,euromillions_202002.csv
2022-12-30,Friday,48,42,17,34,47,1,9,euromillions_202002.csv
2022-12-27,Tuesday,33,31,19,34,43,5,3,euromillions_202002.csv
2022-12-23,Friday,16,17,26,23,35,5,11,euromillions_202002.csv
2022-12-20,Tuesday,1,20,11,17,27,4,5,euromillions_202002.csv
2022-12-16,Friday,2,15,44,35,19,7,2,euromillions_202002.csv
2022-12-13,Tuesday,30,3,12,26,9,10,11,euromillions_202002.csv
2022-12-09,Friday,8,46,31,27,50,3,1,euromillions_202002.csv
2022-12-06,Tuesday,20,25,27,26,12,8,12,euromillions_202002.csv
2022-12-02,Friday,39,12,35,21,45,11,6,euromillions_202002.csv
2022-11-29,Tuesday,20,38,35,15,24,12,8,euromillions_202002.csv
2022-11-25,Friday,21,19,39,35,37,2,6,euromillions_202002.csv
2022-11-22,Tuesday,24,29,42,21,22,3,11,euromillions_202002.csv
2022-11-18,Friday,41,13,35,19,16,11,1,euromillions_202002.csv
2022-11-15,Tuesday,31,21,13,24,33,1,12,euromillions_202002.csv
2022-11-11,Friday,25,2,19,44,24,2,10,euromillions_202002.csv
2022-11-08,Tuesday,50,32,33,5,3,1,8,euromillions_202002.csv
2022-11-04,Friday,11,2,37,47,45,2,3,euromillions_202002.csv
2022-11-01,Tuesday,42,48,19,37,47,6,1,euromillions_202002.csv
2022-10-28,Friday,28,35,21,16,14,11,1,euromillions_202002.csv
2022-10-25,Tuesday,24,7,46,34,39,6,1,euromillions_202002.csv
2022-10-21,Friday,26,28,38,25,40,1,6,euromillions_202002.csv
2022-10-18,Tuesday,42,3,5,48,13,6,1,euromillions_202002.csv
2022-10-14,Friday,28,48,29,24,34,7,3,euromillions_202002.csv
2022-10-11,Tuesday,40,35,8,32,23,8,1,euromillions_202002.csv
2022-10-07,Friday,50,27,45,26,42,12,1,euromillions_202002.csv
2022-10-04,Tuesday,3,28,18,43,42,12,3,euromillions_202002.csv
2022-09-30,Friday,2,16,11,1,26,3,12,euromillions_202002.csv
2022-09-27,Tuesday,34,4,44,20,21,3,1,euromillions_202002.csv
2022-09-23,Friday,22,35,48,15,14,8,3,euromillions_202002.csv
2022-09-20,Tuesday,21,11,32,48,23,12,3,euromillions_202002.csv
2022-09-16,Friday,49,10,45,36,27,3,4,euromillions_202002.csv
2022-09-13,Tuesday,40,9,12,15,47,1,11,euromillions_202002.csv
2022-09-09,Friday,26,17,23,24,27,4,9,euromillions_202002.csv
2022-09-06,Tuesday,10,44,7,29,22,4,5,euromillions_202002.csv
2022-09-02,Friday,7,45,12,20,13,3,12,euromillions_202002.csv
2022-08-30,Tuesday,6,10,4,15,19,1,4,euromillions_202002.csv
2022-08-26,Friday,22,23,44,25,38,12,11,euromillions_202002.csv
2022-08-23,Tuesday,48,39,26,19,31,2,3,euromillions_202002.csv
2022-08-18,Friday,9,2,19,38,13,2,6,euromillions_202002.csv
2022-08-16,Tuesday,10,25,14,39,32,7,8,euromillions_202002.csv
2022-08-12,Friday,14,42,35,17,34,10,6,euromillions_202002.csv
2022-08-09,Tuesday,47,18,21,19,27,11,5,euromillions_202002.csv
2022-08-05,Friday,29,3,44,33,35,10,8,euromillions_202002.csv
2022-08-02,Tuesday,28,48,18,40,7,11,8,euromillions_202002.csv
