date,day_of_week,n1,n2,n3,n4,n5,s1,s2,source_file
2011-05-06,Friday,28,16,20,22,11,4,9,euromillions.csv
2011-04-29,Friday,38,40,25,15,41,1,2,euromillions.csv
2011-04-22,Friday,22,45,48,11,36,1,4,euromillions.csv
2011-04-15,Friday,4,41,6,21,39,2,6,euromillions.csv
2011-04-08,Friday,21,47,23,38,50,6,2,euromillions.csv
2011-04-01,Friday,17,33,22,21,4,4,8,euromillions.csv
2011-03-25,Friday,12,21,6,33,27,7,3,euromillions.csv
2011-03-18,Friday,50,13,26,1,20,7,6,euromillions.csv
2011-03-11,Friday,17,24,37,19,46,2,7,euromillions.csv
2011-03-04,Friday,28,41,25,11,27,8,5,euromillions.csv
2011-02-25,Friday,42,45,13,48,12,3,9,euromillions.csv
2011-02-18,Friday,45,3,49,15,2,9,5,euromillions.csv
2011-02-11,Friday,15,14,12,19,23,7,8,euromillions.csv
2011-02-04,Friday,47,35,11,2,24,5,9,euromillions.csv
2011-01-28,Friday,41,24,23,42,13,5,1,euromillions.csv
2011-01-21,Friday,21,11,13,3,18,5,4,euromillions.csv
2011-01-14,Friday,44,2,24,14,39,7,6,euromillions.csv
2011-01-07,Friday,32,22,1,48,50,7,6,euromillions.csv
2010-12-31,Friday,2,24,43,38,34,1,7,euromillions.csv
2010-12-24,Friday,46,19,42,36,38,8,2,euromillions.csv
2010-12-17,Friday,3,35,29,42,20,3,8,euromillions.csv
2010-12-10,Friday,46,2,10,3,33,8,7,euromillions.csv
2010-12-03,Friday,28,32,46,8,19,4,7,euromillions.csv
2010-11-26,Friday,9,41,36,49,28,7,5,euromillions.csv
2010-11-19,Friday,36,12,15,45,32,9,7,euromillions.csv
2010-11-12,Friday,23,47,7,19,29,6,1,euromillions.csv
2010-11-05,Friday,21,23,33,50,40,5,4,euromillions.csv
2010-10-29,Friday,32,22,16,42,20,8,9,euromillions.csv
2010-10-22,Friday,39,5,11,9,4,3,5,euromillions.csv
2010-10-15,Friday,38,31,2,36,43,7,3,euromillions.csv
2010-10-08,Friday,46,35,39,30,9,6,8,euromillions.csv
2010-10-01,Friday,4,27,6,48,1,1,6,euromillions.csv
2010-09-24,Friday,1,16,48,4,40,1,9,euromillions.csv
2010-09-17,Friday,50,27,38,17,29,3,1,euromillions.csv
2010-09-10,Friday,35,41,21,45,17,5,1,euromillions.csv
2010-09-03,Friday,24,49,47,26,13,4,8,euromillions.csv
2010-08-27,Friday,13,6,30,1,49,1,9,euromillions.csv
2010-08-20,Friday,27,31,5,42,40,6,1,euromillions.csv
2010-08-13,Friday,15,9,47,21,4,7,2,euromillions.csv
2010-08-06,Friday,42,28,13,29,25,4,5,euromillions.csv
2010-07-30,Friday,39,11,3,4,28,8,2,euromillions.csv
2010-07-23,Friday,4,13,37,35,46,9,3,euromillions.csv
2010-07-16,Friday,49,46,45,39,38,7,8,euromillions.csv
2010-07-09,Friday,37,9,49,24,39,3,9,euromillions.csv
2010-07-02,Friday,46,41,36,13,12,8,1,euromillions.csv
2010-06-25,Friday,18,1,8,28,31,9,8,euromillions.csv
2010-06-18,Friday,2,29,31,38,32,4,1,euromillions.csv
2010-06-11,Friday,44,2,36,22,24,2,1,euromillions.csv
2010-06-04,Friday,34,42,17,40,4,9,4,euromillions.csv
2010-05-28,Friday,9,31,32,33,4,3,7,euromillions.csv
2010-05-21,Friday,38,19,50,7,30,4,7,euromillions.csv
2010-05-14,Friday,17,31,43,47,1,3,2,euromillions.csv
2010-05-07,Friday,15,21,6,3,32,7,9,euromillions.csv
2010-04-30,Friday,6,36,22,25,24,3,8,euromillions.csv
2010-04-23,Friday,46,3,7,8,43,6,8,euromillions.csv
2010-04-16,Friday,17,11,26,40,9,9,3,euromillions.csv
2010-04-09,Friday,44,23,24,21,7,3,4,euromillions.csv
2010-04-02,Friday,26,18,12,24,45,5,4,euromillions.csv
2010-03-26,Friday,18,37,8,16,43,2,6,euromillions.csv
2010-03-19,Friday,38,28,30,39,10,7,2,euromillions.csv
2010-03-12,Friday,46,1,26,36,33,7,6,euromillions.csv
2010-03-05,Friday,19,18,49,12,43,9,3,euromillions.csv
2010-02-26,Friday,42,11,29,7,18,7,6,euromillions.csv
2010-02-19,Friday,37,12,38,31,43,3,2,euromillions.csv
2010-02-12,Friday,5,45,1,38,18,6,4,euromillions.csv
2010-02-05,Friday,46,38,34,35,39,3,4,euromillions.csv
2010-01-29,Friday,39,43,30,17,9,7,5,euromillions.csv
2010-01-22,Friday,4,44,27,22,36,9,7,euromillions.csv
2010-01-15,Friday,49,50,26,29,11,4,7,euromillions.csv
2010-01-08,Friday,44,5,14,4,46,9,8,euromillions.csv
2010-01-01,Friday,22,24,27,36,9,7,5,euromillions.csv
2009-12-25,Friday,4,17,5,34,14,5,3,euromillions.csv
2009-12-18,Friday,49,30,35,32,14,8,3,euromillions.csv
2009-12-11,Friday,41,43,44,46,20,2,9,euromillions.csv
2009-12-04,Friday,25,30,19,18,44,3,1,euromillions.csv
2009-11-27,Friday,33,15,13,5,8,8,9,euromillions.csv
2009-11-20,Friday,47,9,28,5,43,2,9,euromillions.csv
2009-11-13,Friday,15,25,32,26,13,4,3,euromillions.csv
2009-11-06,Friday,19,43,45,34,11,5,9,euromillions.csv
2009-10-30,Friday,35,9,33,38,40,6,2,euromillions.csv
2009-10-23,Friday,20,6,18,29,31,8,2,euromillions.csv
