date,day_of_week,n1,n2,n3,n4,n5,s1,s2
2016-09-23,Friday,14,39,42,49,16,9,3
2016-09-20,MARDI   ,45,41,4,1,10,9,6
2016-09-16,Friday,32,5,22,8,14,2,11
2016-09-13,MARDI   ,44,16,4,7,35,3,1
2016-09-09,Friday,28,4,11,17,15,1,3
2016-09-06,MARDI   ,45,12,34,24,30,7,10
2016-09-02,Friday,50,40,16,32,8,2,11
2016-08-30,MARDI   ,29,42,13,16,35,6,8
2016-08-26,Friday,48,9,30,28,1,7,8
2016-08-23,MARDI   ,2,31,45,37,23,8,4
2016-08-19,Friday,22,6,5,25,34,7,5
2016-08-16,MARDI   ,34,37,46,26,2,4,8
2016-08-12,Friday,15,50,36,2,28,11,2
2016-08-09,MARDI   ,19,43,44,12,45,10,5
2016-08-05,Friday,19,16,24,37,35,2,7
2016-08-02,MARDI   ,27,46,38,2,8,2,6
2016-07-29,Friday,40,26,50,1,21,4,2
2016-07-26,MARDI   ,13,49,10,45,3,11,2
2016-07-22,Friday,26,45,24,7,37,9,5
2016-07-19,MARDI   ,24,37,19,28,36,6,3
2016-07-15,Friday,2,11,14,13,21,1,8
2016-07-12,MARDI   ,26,3,41,33,7,2,10
2016-07-08,Friday,12,18,8,44,33,8,4
2016-07-05,MARDI   ,38,29,10,48,1,4,3
2016-07-01,Friday,11,50,13,40,2,10,1
2016-06-28,MARDI   ,43,37,32,26,49,5,4
2016-06-24,Friday,11,19,39,28,27,3,10
2016-06-21,MARDI   ,32,35,17,49,5,5,1
2016-06-17,Friday,43,1,18,27,7,8,4
2016-06-14,MARDI   ,13,50,42,39,34,11,9
2016-06-10,Friday,21,35,42,14,43,7,9
2016-06-07,MARDI   ,26,49,19,45,35,2,5
2016-06-03,Friday,7,31,39,23,33,6,10
2016-05-31,MARDI   ,6,30,26,48,12,6,7
2016-05-27,Friday,46,27,13,43,25,4,8
2016-05-24,MARDI   ,37,17,34,16,23,9,6
2016-05-20,Friday,41,9,30,14,45,4,9
2016-05-17,MARDI   ,32,27,39,36,15,3,10
2016-05-13,Friday,31,28,42,15,7,10,11
2016-05-10,MARDI   ,40,2,26,27,49,10,5
2016-05-06,Friday,45,48,40,34,32,10,1
2016-05-03,MARDI   ,23,34,8,24,38,3,7
2016-04-29,Friday,4,25,28,5,43,6,11
2016-04-26,MARDI   ,10,42,17,32,31,2,5
2016-04-22,Friday,32,43,26,34,17,2,10
2016-04-19,MARDI   ,27,14,44,15,11,7,2
2016-04-15,Friday,13,32,37,14,48,1,7
2016-04-12,MARDI   ,9,1,5,22,38,10,2
2016-04-08,Friday,43,8,49,6,26,10,6
2016-04-05,MARDI   ,3,19,40,9,5,5,2
2016-04-01,Friday,23,25,2,49,16,6,9
2016-03-29,MARDI   ,4,25,19,36,1,3,11
2016-03-25,Friday,43,36,12,42,19,8,5
2016-03-22,MARDI   ,15,49,12,26,42,5,8
2016-03-18,Friday,14,49,21,19,24,5,11
2016-03-15,MARDI   ,7,10,5,44,34,10,2
2016-03-11,Friday,26,43,1,21,40,9,6
2016-03-08,MARDI   ,9,14,23,8,1,7,1
2016-03-04,Friday,9,23,40,16,14,1,5
2016-03-01,MARDI   ,37,7,28,13,4,11,10
2016-02-26,Friday,13,50,5,33,15,9,11
2016-02-23,MARDI   ,42,32,23,25,37,11,1
2016-02-19,Friday,32,13,14,39,30,3,9
2016-02-16,MARDI   ,3,22,50,10,37,6,10
2016-02-12,Friday,31,49,28,20,3,5,2
2016-02-09,MARDI   ,9,6,13,28,37,4,5
2016-02-05,Friday,46,32,27,3,41,4,8
2016-02-02,MARDI   ,36,21,10,6,9,6,2
2016-01-29,Friday,29,32,23,1,5,1,7
2016-01-26,MARDI   ,15,40,24,48,38,2,9
2016-01-22,Friday,27,10,30,47,12,9,8
2016-01-19,MARDI   ,2,30,38,43,46,7,2
2016-01-15,Friday,43,38,19,10,46,1,11
2016-01-12,MARDI   ,2,10,30,44,1,1,8
2016-01-08,Friday,35,33,26,40,5,3,8
2016-01-05,MARDI   ,36,10,6,39,31,6,10
2016-01-01,Friday,44,37,38,39,4,4,7
2015-12-29,MARDI   ,5,36,32,31,20,6,7
2015-12-25,Friday,10,27,40,3,25,9,3
2015-12-22,MARDI   ,19,41,18,40,20,7,10
2015-12-18,Friday,22,6,26,29,48,5,6
2015-12-15,MARDI   ,11,27,35,8,23,4,11
2015-12-11,Friday,43,5,21,3,40,11,6
2015-12-08,MARDI   ,48,29,12,38,17,9,11
2015-12-04,Friday,17,27,18,39,8,7,1
2015-12-01,MARDI   ,35,15,45,25,2,10,8
2015-11-27,Friday,50,16,30,37,29,6,8
2015-11-24,MARDI   ,26,14,17,9,16,10,11
2015-11-20,Friday,34,49,30,46,4,8,7
2015-11-17,MARDI   ,6,37,23,38,7,11,10
2015-11-13,Friday,33,10,18,40,17,8,2
2015-11-10,MARDI   ,43,39,13,6,18,2,8
2015-11-06,Friday,26,40,38,17,3,4,10
2015-11-03,MARDI   ,39,27,49,8,46,2,6
2015-10-30,Friday,34,13,17,8,21,6,7
2015-10-27,MARDI   ,11,20,25,36,12,9,6
2015-10-23,Friday,25,7,32,39,30,2,8
2015-10-20,MARDI   ,21,19,30,45,17,8,10
2015-10-16,Friday,28,43,7,48,29,3,10
2015-10-13,MARDI   ,26,15,12,47,29,11,3
2015-10-09,Friday,43,42,47,40,1,9,11
2015-10-06,MARDI   ,22,32,29,11,20,1,8
2015-10-02,Friday,21,35,7,32,18,11,2
2015-09-29,MARDI   ,14,49,26,11,29,3,9
2015-09-25,Friday,14,37,30,13,23,8,2
2015-09-22,MARDI   ,27,14,23,29,26,7,10
2015-09-18,Friday,39,34,33,7,29,8,7
2015-09-15,MARDI   ,44,8,15,17,49,5,8
2015-09-11,Friday,19,50,10,29,18,9,1
2015-09-08,MARDI   ,42,14,40,39,16,1,4
2015-09-04,Friday,27,8,45,9,50,8,10
2015-09-01,MARDI   ,6,27,45,19,21,8,1
2015-08-28,Friday,11,34,30,29,31,4,7
2015-08-25,MARDI   ,31,33,50,27,42,5,2
2015-08-21,Friday,47,4,16,18,43,10,6
2015-08-18,MARDI   ,7,10,19,12,11,2,9
2015-08-14,Friday,45,4,44,7,39,3,5
