annee_numero_de_tirage;1er_ou_2eme_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;boule_6;boule_complementaire;combinaison_gagnante_en_ordre_croissant;numero_joker;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;numero_jokerplus;devise;Unnamed: 30
2008080;2;SA;20081004;20081204;33;32;42;16;15;49;37;15-16-32-33-42-49;;2;904940;8;10953,9;213;1400,3;589;61,6;11911;30,8;20552;5,4;255211;2,7;7 523 262;eur;
2008080;1;SA;20081004;20081204;36;9;16;27;25;12;48;9-12-16-25-27-36;;3;282006;7;12513,4;461;662,5;1033;32;22997;16;25950;3,6;391755;1,8;7 523 262;eur;
2008079;2;ME;20081001;20081201;41;16;14;18;10;21;24;10-14-16-18-21-41;;2;793603;8;9604,1;231;1138,8;743;40,6;15920;20,3;21248;4,4;279631;2,2;4 114 098;eur;
2008079;1;ME;20081001;20081201;29;28;3;1;6;37;11;1-3-6-28-29-37;;0;0;7;10970,6;249;1059,2;1200;41;14790;20,5;32257;8,2;289766;4,1;4 114 098;eur;
2008078;2;SA;20080927;20081127;24;47;39;42;45;35;46;24-35-39-42-45-47;;2;900725;2;41972,1;358;844,8;608;47,4;15683;23,7;17963;5,2;268384;2,6;8 931 007;eur;
2008078;1;SA;20080927;20081127;28;7;24;35;32;23;33;7-23-24-28-32-35;;2;419649;7;12455;250;1193,2;601;47,2;15781;23,6;18635;4,4;321203;2,2;8 931 007;eur;
2008077;2;ME;20080924;20081124;2;33;34;28;8;23;47;2-8-23-28-33-34;;0;0;4;18611,6;181;1418,6;603;50,6;12494;25,3;18618;4,8;252898;2,4;1 208 390;eur;
2008077;1;ME;20080924;20081124;9;19;32;21;20;17;40;9-17-19-20-21-32;;0;0;8;9438,5;258;1006,5;705;38,2;16764;19,1;19627;8,4;305452;4,2;1 208 390;eur;
2008076;2;SA;20080920;20081120;24;40;13;9;47;25;14;9-13-24-25-40-47;;0;0;8;13107,6;394;919,8;886;36,4;24622;18,2;26589;4;426020;2;4 608 228;eur;
2008076;1;SA;20080920;20081120;31;26;47;10;12;48;39;10-12-26-31-47-48;;0;0;8;13107,6;426;853,5;982;38,6;22962;19,3;24600;8,8;403563;4,4;4 608 228;eur;
2008075;2;ME;20080917;20081117;31;49;9;30;29;26;27;9-26-29-30-31-49;;1;1590246;5;15378,6;260;1021,3;811;42;15265;21;20626;4,2;286761;2,1;8 549 961;eur;
2008075;1;ME;20080917;20081117;26;43;49;40;48;38;47;26-38-40-43-48-49;;2;372009;10;7732,2;273;974,5;1080;44,2;13916;22,1;22981;5;234423;2,5;8 549 961;eur;
2008074;2;SA;20080913;20081113;11;36;34;14;35;42;17;11-14-34-35-36-42;;2;928797;11;8187,3;202;1512,5;796;56;13155;28;21796;5,2;273341;2,6;9 428 334;eur;
2008074;1;SA;20080913;20081113;28;40;8;9;17;47;7;8-9-17-28-40-47;;1;858421;8;11243,2;277;1113,3;1063;42,8;17141;21,4;35495;4,2;324663;2,1;9 428 334;eur;
2008073;2;ME;20080910;20081110;7;24;6;12;2;14;15;2-6-7-12-14-24;;8;207167;24;3356,4;1078;258,3;1810;17,6;38062;8,8;35533;2,6;483476;1,3;9 717 786;eur;
2008073;1;ME;20080910;20081110;38;36;19;5;39;7;48;5-7-19-36-38-39;;1;764012;5;15890;271;1014,5;612;41,6;16419;20,8;19537;4,2;315627;2,1;9 717 786;eur;
2008072;2;SA;20080906;20081106;20;34;49;21;46;43;30;20-21-34-43-46-49;;2;4500000;5;24588,1;303;1414,8;1103;55,2;18792;27,6;28518;5,4;368881;2,7;2 991 939;eur;
2008072;1;SA;20080906;20081106;22;40;12;46;29;10;35;10-12-22-29-40-46;;1;1197362;7;17791,6;390;1107,7;1001;47;22578;23,5;28800;4,6;443609;2,3;2 991 939;eur;
2008071;2;ME;20080903;20081103;29;12;27;4;2;11;25;2-4-11-12-27-29;;1;1583301;14;5509,7;665;402,8;1360;23,8;26764;11,9;30982;3,2;381149;1,6;6 558 336;eur;
2008071;1;ME;20080903;20081103;28;15;26;42;14;43;45;14-15-26-28-42-43;;0;0;2;37085,7;225;1169,3;462;59;11035;29,5;14912;11;235342;5,5;6 558 336;eur;
